CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-11145-54963,6-Jul-11,25-May-11,CERTIFIED,H-2B,CA,18-Jul-11,15-Jul-12,TERA M. MARQUEZ,4463 VIA ARANDANA,,CAMARILLO,CA,93012,CEDRIC MAXIMILIAN,LOS ANGELES,CA,301.677-010,Child Monitor,399011,Child Care Workers,CHILD MONITOR,1,1,11.1,HR,11.1,HR
C-10327-51973,16-Dec-10,23-Nov-10,DENIED,H-2B,CA,1-Dec-10,1-Oct-11,LAS CUMBRES OBSERVATORY GLOBAL TELESCOPE NETWORK,6740B CORTONA DRIVE,SUITE 102,GOLETA,CA,93117,PAUL HERZOG,LOS ANGELES,CA,824.261-010,Electrician,472111,Electricians,ELECTRICIAN,1,0,25.75,HR,25.75,HR
C-11039-53900,23-Mar-11,8-Feb-11,DENIED,H-2B,CA,15-Feb-11,15-Dec-11,LAS CUMBRES OBSERVATORY GLOBAL TELESCOPE NETWORK,6740B CORTONA DRIVE,SUITE 102,GOLETA,CA,93117,PAUL HERZOG,LOS ANGELES,CA,003.061-010,Electrical Engineer,172071,Electrical Engineers,ELECTRICAL ENGINEER,1,0,25.75,HR,25.75,HR
C-10349-52278,20-Dec-10,15-Dec-10,CERTIFIED,H-2B,CA,15-Jan-01,15-Nov-11,"WOLD AMUSEMENTS, INC. DBA AMERICAN TRAVELING SHOWS",PO BOX 419,,HANFORD,CA,93232,JAMES KENDRICK JUDKINS,RIO HONDO,TX,341.367-010,Recreation-Facility Attendant,393091,Amusement and Recreation Attendants,RECREATION FACILITY ATTENDANT,30,30,355.6,WK,355.6,WK
C-10278-51132,8-Oct-10,5-Oct-10,CERTIFIED,H-2B,CA,4-Jan-11,31-Oct-11,"WEST COAST CONCESSIONS FAIRS, INC. DBA BIG BUBBA'S",115 FAIRVIEW LANE,,PASO ROBLES,CA,93446,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,40,40,358.4,WK,358.4,WK
C-10301-51395,2-Nov-10,28-Oct-10,CERTIFIED,H-2B,CA,1-Feb-11,25-Nov-11,"BRANDER ENTERPRISES, INC.",7645 CATTLE DRIVE,,SANTA MARGARITA,CA,93453,JAMES KENDRICK JUDKINS,RIO HONDO,TX,341.367-010,Recreation-Facility Attendant,393091,Amusement and Recreation Attendants,RECREATION FACILITY ATTENDANT,15,15,358.4,WK,358.4,WK
C-10286-51191,18-Oct-10,13-Oct-10,PARTIAL CERTIFIED,H-2B,CA,5-Jan-11,31-Oct-11,"FRASER & FRASER, INC.",812 VIA ROSA,,LOS BANOS,CA,93635,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,13,11,,WK,364,WK
C-10341-52180,9-Dec-10,7-Dec-10,CERTIFIED,H-2B,CA,15-Jan-11,31-Oct-11,JLQ CONCESSIONS,11719 EAST ASHLAND AVENUE,,SANGER,CA,93657,JAMES KENDRICK JUDKINS,RIO HONDO,TX,195.367-030,Recreation Aide,393091,Amusement and Recreation Attendants,RECREATION AIDE,18,18,355.6,WK,355.6,WK
C-10348-52255,28-Dec-10,14-Dec-10,DENIED,H-2B,CA,22-Feb-11,15-Nov-11,DANDY SOUVENIRS,4692 E. LOWE AVE,,FRESNO,CA,93702,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,25,0,,,,
C-11026-53634,1-Feb-11,26-Jan-11,CERTIFIED,H-2B,CA,22-Feb-11,15-Nov-11,DANDY SOUVENIRS,4692 E. LOWE AVE,,FRESNO,CA,93702,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,25,25,354.4,WK,354.4,WK
C-10321-51833,23-Nov-10,17-Nov-10,PARTIAL CERTIFIED,H-2B,CA,1-Feb-11,31-Oct-11,GACHINA LANDSCAPE MANAGEMENT,1130 O'BRIEN DRIVE,,MENLO PARK,CA,94025,APRIL MCKINNEY,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",50,46,11.38,HR,11.38,HR
C-11101-54703,14-Apr-11,11-Apr-11,CERTIFIED,H-2B,CA,1-Apr-11,30-Jan-12,JAN PEARCE TRAINING,2359 SHARON RD,,MENLO PARK,CA,94025,LISA L GALLIATH,SOLANA BEACH,CA,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,9,9,9.75,HR,9.75,HR
C-10347-52240,16-Dec-10,13-Dec-10,CERTIFIED,H-2B,CA,25-Jan-11,15-Nov-11,"EWC & ASSOICATES, INC. DBA PORTOLA VALLEY TRAINING",100 ANSEL LANE,,MENLO PARK,CA,94028,LISA L. GALLIATH,SOLANA BEACH,CA,153.674-010,"Exerciser, Horse",392021,Nonfarm Animal Caretakers,"EXERCISER, HORSE",20,20,,,,
C-11018-53424,24-Jan-11,18-Jan-11,CERTIFIED,H-2B,CA,1-Mar-11,1-Nov-11,"PENINSULA EQUINE, INC.",100 ANSEL LANE,,MENLO PARK,CA,94028,CHARINA P. GARCIA / CORNERSTONE LAW GROUP,OAKLAND,CA,419.224-010,Horse Trainer,392011,Animal Trainers,HORSE TRAINER,2,2,10.3,HR,10.3,HR
C-11241-55488,15-Sep-11,29-Aug-11,CERTIFIED,H-2B,CA,1-Nov-11,1-Sep-12,"PENINSULA EQUINE, INC.",100 ANSEL LANE,,MENLO PARK,CA,94028,CHARINA PALOMARES GARCIA,OAKLAND,CA,079.361-014,Veterinary Technician,319096,Veterinary Assistants and Laboratory Animal Caretakers,VETERINARY TECHNICIAN,1,1,16.05,HR,16.19,HR
C-10294-51283,26-Oct-10,21-Oct-10,CERTIFIED,H-2B,CA,5-Jan-11,31-Oct-11,"MCINTOSH STABLES USA, INC.","2995 WOODSIDE RD., STE 400/338",,WOODSIDE,CA,94062,"LISA L. GALLIATH/ INTERNATIONAL LAW GROUP, LLP",SOLANA BEACH,CA,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,4,4,9.75,HR,9.75,HR
C-10356-52646,28-Dec-10,22-Dec-10,CERTIFIED,H-2B,CA,15-Jan-11,30-Oct-11,"ISOLA STABLES, INC.",3639 ALPINE RD.,P.O. BOX 620346,WOODSIDE,CA,94062,LISA L. GALLIATH,SOLANA BEACH,CA,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,2,2,9.75,HR,9.75,HR
C-10356-52651,28-Dec-10,22-Dec-10,CERTIFIED,H-2B,CA,1-Jan-11,25-Oct-11,"ROUND MEADOW FARM, LLC",526 IRIS STREET,,REDWOOD CITY,CA,94062,"LISA L. GALLIATH, INTERNATIONAL LAW GROUP, LLP",SOLANA BEACH,CA,419.224-010,Horse Trainer,392011,Animal Trainers,HORSE TRAINER,4,4,9.75,HR,9.75,HR
C-11178-55108,22-Jul-11,27-Jun-11,DENIED,H-2B,CA,29-Jun-11,24-Jul-11,360 CASTING,182 HOWARD STREET,,SAN FRANCISCO,CA,94105,,,,150.047-010,Actor,272011,Actors,ACTOR,1,0,300,DAI,300,DAI
C-10273-51111,22-Oct-10,30-Sep-10,DENIED,H-2B,CA,15-Nov-10,15-Dec-11,ASHBURY GENERAL CONTRACTING AND ENGINEERING,2166 HAYES STREET SUITE 208,,SAN FRANCISCO,CA,94117,,,,182.167-026,"Superintendent, Construction",119021,Construction Managers,"SUPERINTENDENT, CONSTRUCTION",4,0,,,,
C-10294-51279,26-Oct-10,21-Oct-10,CERTIFIED,H-2B,CA,1-Dec-10,30-Sep-11,"BURGUNDY FARMS, INC DBA RIVERSIDE EQUESTRIAN CENTE",538 B SIMONDS LOOP,,SAN FRANCISCO,CA,94129,LISA L GALLIATH,SOLANA BEACH,CA,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,4,4,9.75,HR,9.75,HR
C-11020-53489,26-Jan-11,20-Jan-11,CERTIFIED,H-2B,CA,1-Apr-11,23-Dec-11,PERFORMANCE HORSE SHOEING,500 COLORADO AVENUE,,PALO ALTO,CA,94306,SHAWN F FRIESTAD,SAN DIEGO,CA,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,3,3,9.75,HR,9.75,HR
C-11215-55348,18-Aug-11,3-Aug-11,CERTIFIED,H-2B,CA,1-Sep-11,30-Jun-12,"SHADY LANE FARM, LLC",111 JENNIFER LANE,PO BOX 1224,ALAMO,CA,94507,MARTIN J ARBURUA,SOLANA BEACH,CA,419.224-010,Horse Trainer,392011,Animal Trainers,HORSE TRAINER,1,1,11.14,HR,11.14,HR
C-10357-52707,29-Dec-10,23-Dec-10,CERTIFIED,H-2B,CA,25-Jan-11,21-Nov-11,DIAMOND MOUNTAIN STABLES,1296 DIAMOND MOUNTAIN ROAD,,CALISTOGA,CA,94515,LISA L. GALLIATH,SOLANA BEACH,CA,153.674-010,"Exerciser, Horse",392021,Nonfarm Animal Caretakers,"EXERCISER, HORSE",1,1,,,,
C-11073-54431,17-Mar-11,14-Mar-11,PARTIAL CERTIFIED,H-2B,CA,1-Feb-11,30-Nov-11,"DEL CONTE'S LANDSCAPING, INC.",41900 BOSCELL RD.,,FREMONT,CA,94538,LINDA PEREZ /DATA PROCESSING SPECIALISTS INC.,BROWNSVILLE,TX,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",35,34,15.56,HR,15.56,HR
C-11056-54234,7-Apr-11,25-Feb-11,DENIED,H-2B,CA,1-Apr-11,1-Nov-11,PEAK INVESTMENT GROUP INC. DBA KITE GEAR BOAT (KGB,2721 WEST ST.,,OAKLAND,CA,94612,,,,153.227-018,"Instructor, Sports",399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",2,0,25,HR,25,HR
C-11020-53497,25-Feb-11,20-Jan-11,DENIED,H-2B,CA,1-Mar-11,1-Dec-11,C. ORJI COMPANY,1568 GREEN RIDGE DRIVE,,PITTSBURGH,CA,94656,,,,301.677-010,Child Monitor,399011,Child Care Workers,CHILD MONITOR,1,0,10.5,HR,10.5,HR
C-10294-51280,26-Oct-10,21-Oct-10,CERTIFIED,H-2B,CA,1-Dec-10,30-Sep-11,"WALDENBROOK FARM, INC.",PO BOX 6626,,ALBANY,CA,94706,"LISA L. GALLIATH/ INTERNATIONAL LAW GROUP, LLP",SOLANA BEACH,CA,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,2,2,9.05,HR,9.05,HR
